Psych,year,2014-15,,,"12,831",2015-16,,,,2016-17,,,,,2014-15,,,,2015-16,,,,2016-17,,,
Psych,Gender,1 Summer,2 Fall,3 Winter,4 Spring,1 Summer,2 Fall,3 Winter,4 Spring,1 Summer,2 Fall,3 Winter,4 Spring,,1 Summer,2 Fall,3 Winter,4 Spring,1 Summer,2 Fall,3 Winter,4 Spring,1 Summer,2 Fall,3 Winter,4 Spring
Psych,Female,176,252,266,298,171,244,268,258,138,267,297,265,,0.631,0.597,0.599,0.623,0.643,0.632,0.663,0.635,0.654,0.621,0.648,0.65
Psych,Male,103,167,178,180,95,142,136,148,73,163,161,143,,0.369,0.396,0.401,0.377,0.357,0.368,0.337,0.365,0.346,0.379,0.352,0.35
Psych,(blank),,3,,,,,,,,,,,, -   ,0.007, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Full,Female,"1,740","3,716","3,735","3,640","1,614","3,602","3,546","3,566","1,676","3,631","3,664","3,595",,0.567,0.605,0.614,0.613,0.566,0.608,0.608,0.622,0.566,0.617,0.614,0.62
Full,Male,"1,321","2,409","2,315","2,272","1,231","2,288","2,254","2,136","1,269","2,234","2,276","2,181",,0.43,0.392,0.381,0.383,0.432,0.386,0.386,0.372,0.429,0.38,0.382,0.376
Full,(blank),10,15,32,24,5,39,32,33,14,19,24,21,,0.003,0.002,0.005,0.004,0.002,0.007,0.005,0.006,0.005,0.003,0.004,0.004
Psych,year,2014-15,,,,2015-16,,,,2016-17,,,,,,,,,,,,,,,,
Psych,Ethnicity,1 Summer,2 Fall,3 Winter,4 Spring,1 Summer,2 Fall,3 Winter,4 Spring,1 Summer,2 Fall,3 Winter,4 Spring,,,,,,,,,,,,,
Psych,African American,23,30,35,48,31,42,37,25,23,32,45,39,,0.082,0.071,0.079,0.1,0.117,0.109,0.092,0.062,0.109,0.074,0.098,0.096
Psych,Asian/Pacific Islander,34,54,64,53,29,49,48,60,19,56,56,50,,0.122,0.128,0.144,0.111,0.109,0.127,0.119,0.148,0.09,0.13,0.122,0.123
Psych,Latino/Hispanic,14,34,28,28,17,25,41,30,11,44,39,27,,0.05,0.081,0.063,0.059,0.064,0.065,0.101,0.074,0.052,0.102,0.085,0.066
Psych,Native American,4,2,6,4,4,4,7,9,,8,6,5,,0.014,0.005,0.014,0.008,0.015,0.01,0.017,0.022, -   ,0.019,0.013,0.012
Psych,Other Race,6,13,20,20,8,11,12,9,7,9,14,14,,0.022,0.031,0.045,0.042,0.03,0.028,0.03,0.022,0.033,0.021,0.031,0.034
Psych,White,102,187,164,198,103,179,173,184,89,178,183,161,,0.366,0.443,0.369,0.414,0.387,0.464,0.428,0.453,0.422,0.414,0.4,0.395
Psych,International Student,72,50,81,65,47,35,46,52,44,59,66,63,,0.258,0.118,0.182,0.136,0.177,0.091,0.114,0.128,0.209,0.137,0.144,0.154
Psych,Not Reported,24,52,46,62,27,41,40,37,18,44,49,49,,0.086,0.123,0.104,0.13,0.102,0.106,0.099,0.091,0.085,0.102,0.107,0.12
Full,Asian/Pacific Islander,381,696,682,689,380,710,698,686,421,718,694,715,,0.092,0.086,0.085,0.088,0.097,0.09,0.09,0.089,0.103,0.091,0.087,0.091
Full,African American,237,430,435,418,237,417,394,406,232,422,438,459,,0.058,0.053,0.054,0.053,0.061,0.053,0.051,0.053,0.057,0.053,0.055,0.058
Full,Native American,10,34,32,33,18,30,31,35,18,39,35,35,,0.002,0.004,0.004,0.004,0.005,0.004,0.004,0.005,0.004,0.005,0.004,0.004
Full,Latino/Hispanic,205,419,430,434,221,455,444,439,242,452,453,451,,0.05,0.052,0.053,0.055,0.057,0.058,0.057,0.057,0.059,0.057,0.057,0.057
Full,Other Race,217,398,398,361,198,368,388,379,203,411,398,399,,0.053,0.049,0.049,0.046,0.051,0.047,0.05,0.049,0.05,0.052,0.05,0.051
Full,Student of color,"1,050","1,977","1,977","1,935","1,054","1,980","1,955","1,945","1,116","2,042","2,018","2,059",,0.255,0.244,0.245,0.246,0.27,0.25,0.251,0.253,0.274,0.258,0.253,0.262
Full,White,"1,340","2,721","2,658","2,555","1,234","2,546","2,517","2,416","1,201","2,460","2,430","2,399",,0.325,0.335,0.33,0.325,0.316,0.322,0.323,0.315,0.295,0.31,0.304,0.305
Full,International Student,1,7,7,7,1,14,12,10,9,21,181,72,,0,0.001,0.001,0.001,0,0.002,0.002,0.001,0.002,0.003,0.023,0.009
Full,(blank),680,"1,435","1,440","1,439",561,"1,389","1,348","1,364",633,"1,361","1,335","1,267",,0.165,0.177,0.179,0.183,0.144,0.176,0.173,0.178,0.155,0.172,0.167,0.161
Psych,year,2014-15,,,,2015-16,,,,2016-17,,,,,,,,,,,,,,,,
Psych,Disability,1 Summer,2 Fall,3 Winter,4 Spring,1 Summer,2 Fall,3 Winter,4 Spring,1 Summer,2 Fall,3 Winter,4 Spring,,,,,,,,,,,,,
Psych,Disable N,270,398,413,445,243,361,374,369,195,399,428,375,,,,,,,,,,,,,
Psych,Disable Y,9,24,31,33,23,25,30,37,16,31,30,33,,,,,,,,,,,,,
Full,Disable N,"2,904","5,873","5,821","5,650","2,696","5,646","5,524","5,442","2,779","5,569","5,649","5,462",,,,,,,,,,,,,
Full,Disable Y,167,267,261,286,154,283,308,293,180,315,315,335,,,,,,,,,,,,,
Psych,year,2014-15,,,,2015-16,,,,2016-17,,,,,,,,,,,,,,,,
Psych,Full/Part Time,1 Summer,2 Fall,3 Winter,4 Spring,1 Summer,2 Fall,3 Winter,4 Spring,1 Summer,2 Fall,3 Winter,4 Spring,,,,,,,,,,,,,
Psych,Full-Time,91,230,271,256,66,207,230,217,69,240,241,233,,,,,,,,,,,,,
Psych,Part-time,188,192,173,222,200,179,174,189,142,190,217,175,,,,,,,,,,,,,
Full,Full-Time,457,"1,722","1,811","1,745",401,"1,707","1,694","1,635",408,"1,727","1,821","1,684",,,,,,,,,,,,,
Full,Part-time,"2,614","4,418","4,271","4,191","2,449","4,222","4,138","4,100","2,551","4,157","4,143","4,113",,,,,,,,,,,,,
Psych,year,2014-15,,,,2015-16,,,,2016-17,,,,,,,,,,,,,,,,
Psych,Family Status,1 Summer,2 Fall,3 Winter,4 Spring,1 Summer,2 Fall,3 Winter,4 Spring,1 Summer,2 Fall,3 Winter,4 Spring,,,,,,,,,,,,,
Psych,Without Dependents,191,278,297,307,174,257,259,259,136,275,267,240,,,,,,,,,,,,,
Psych,Other,59,86,103,103,49,71,88,91,47,93,123,106,,,,,,,,,,,,,
Psych,Couple with Dependents,17,30,28,38,27,33,27,32,14,34,42,32,,,,,,,,,,,,,
Psych,Single Parent with Dependents,12,19,15,28,16,24,30,23,14,24,24,26,,,,,,,,,,,,,
